"Data Source","World Development Indicators",

"Last Updated Date","2025-12-04",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Bahrain","BHR","GNI per capita, PPP (constant 2021 international $)","NY.GNP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","52218.446660863","50619.6173658866","43630.5847483187","45674.5621406566","44922.3516171531","48767.6937394385","51296.5883427682","54395.9872892536","57984.3463690319","47376.9698514227","51735.6085779188","56204.3690199324","60372.1644198144","63405.1239239394","60273.7595448628","53599.8101312827","52665.5233930025","53799.3124792842","55329.544630715","56719.093876783","50453.6634037229","51553.0939020486","60432.211793307","62987.9834781673","",
"Bahamas, The","BHS","GNI per capita, PPP (constant 2021 international $)","NY.GNP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29728.6695752708","27595.3409756603","27022.5718502144","26162.9211167256","26500.3265820381","30804.1053807764","33318.3838202094","32577.8992440615","33908.1665081774","37950.1640856315","38769.2650165097","37749.1242631599","40509.8544918627","39073.7841349856","38386.4213545923","39186.6955287212","38263.4553595844","38840.3280509732","37288.2926039145","34063.9833095146","33569.5473983019","32296.5248494818","30200.2460264166","29658.0113900085","30801.0571803394","32388.7586003052","32120.6813295245","32879.4772959519","32248.7194793648","32712.6550937726","26050.1281737883","29228.3638661655","31437.7675655329","33982.176066963","",
"Bosnia and Herzegovina","BIH","GNI per capita, PPP (constant 2021 international $)","NY.GNP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7703.55130210349","7817.77810399312","8187.11597726503","8436.22102461884","8985.10415166401","9453.62357370944","10074.5302557517","10941.5642860866","11871.7963516798","11949.3839174789","11944.7651640378","11938.4703717497","12179.5233298468","12756.1310219349","12996.4360949939","13859.9048866199","14600.9281598198","15061.0670443095","15891.3715092521","16620.3391326484","16283.3927667744","18054.1536889235","18286.2804370388","19213.8814146932","19913.9548286205",
"Belarus","BLR","GNI per capita, PPP (constant 2021 international $)","NY.GNP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12801.5891843361","12578.978391855","10541.4350319199","8826.05045399229","7367.46543146924","6753.79053173958","7014.69263141245","7137.80155511813","8481.30211600446","8639.32540730853","8963.803255512","9176.54262082304","9697.07261528602","10727.1459898599","12087.3855934554","14702.3732611016","16695.4399338439","17992.651517156","21232.5910466955","20490.9752339684","22221.732566055","24686.0928866786","26046.7042337412","26163.3365765557","26891.9710985472","23523.5456353162","22024.9996994843","23360.6236957721","25078.4564008785","25848.9581048369","25825.6353272543","26597.539831446","26562.711643028","26814.2179236596","28074.4955028392",
"Belize","BLZ","GNI per capita, PPP (constant 2021 international $)","NY.GNP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9003.41607092001","9630.50213722056","10059.1972645942","10317.6099054944","10096.7890855389","10080.088823667","9972.06205496899","9878.8270834094","9935.36992297163","10348.8596588302","10991.5937421998","10879.4881152082","11253.8876812017","11293.7643991245","10932.459201962","10742.2341856187","10247.0903563633","11633.0581696226","10954.9582147104","9821.65357406409","10130.8301441162","10631.575836593","10540.183722793","10974.6112328808","11330.3911745199","11814.550605686","11865.1207508094","11732.1307978237","11040.0799042512","11236.238637718","9530.19582291937","11301.5032575717","11993.5359825706","11921.5830532649","",
"Bermuda","BMU","GNI per capita, PPP (constant 2021 international $)","NY.GNP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99483.9124835153","99002.0641132088","96969.0569162976","103320.161872476","99956.4371883952","100384.666234771","90869.4529883449","96262.1573483182","102468.876115896","104492.31354998","110441.991181456",
"Bolivia","BOL","GNI per capita, PPP (constant 2021 international $)","NY.GNP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4856.63321522761","4884.11302256483","4864.49657270382","4881.32405993","5033.8441064908","5209.89687930536","5401.05001086476","5618.24820601825","5830.53408352338","5715.02695971986","5697.11364980853","5706.32572160208","5818.48732154851","5935.18677614655","6189.1385944192","6403.58668851047","6888.78341856835","6982.01375187767","7457.04568975208","7233.58381853383","7701.29620802194","8197.02928984803","8422.35106261065","8714.99993936283","8755.23391717608","8544.86751104515","8838.16242590679","9267.11102053351","9648.90986919136","9714.96268055753","8734.93648792703","9213.40993667117","9363.36352602833","9404.20916239205","",
"Brazil","BRA","GNI per capita, PPP (constant 2021 international $)","NY.GNP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12257.860918559","12209.9451916787","11995.0708007896","12297.9557751871","12621.1761426514","13249.8883232057","13370.8345473108","13568.4274560698","13339.4784459293","12912.7096993622","13243.7721190599","13146.2902613905","13559.3648798872","13622.8456425424","14366.497597534","14609.2736313063","15117.7547476637","15888.7665021795","16494.216464312","16377.6687601868","17528.9045735581","18319.8573863325","18433.2615047454","18976.7931059955","18737.6664459012","17748.662863886","17033.4366535048","17253.4311137647","17286.3588636742","17307.128363347","16808.3143665758","17511.7648105761","17886.5309367738","18463.9873403312","18932.3549097991",
"Barbados","BRB","GNI per capita, PPP (constant 2021 international $)","NY.GNP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15398.4659740752","","","",
"Brunei Darussalam","BRN","GNI per capita, PPP (constant 2021 international $)","NY.GNP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","88223.1176891151","87306.4829688883","72155.3462247628","67910.6997076673","62975.1204492121","55740.8955202116","60449.9829270825","63456.2324533551","55571.4617228447","56549.7064145383","62929.0919498819","62586.2706353835","60572.9259610789","65552.1239984788","71851.8786546333","81965.3064236968","89844.5686192383","88185.4626503224","106355.072247053","84656.8595810203","88696.6249023102","106493.017193958","107449.88118338","102459.884508792","97870.5551605958","81577.5690406269","75059.0202201529","78865.7469290999","76807.5661960569","76665.6529504424","69689.9609253058","78749.7516275697","89081.7367349457","79542.645784707","80706.9827869548",
